geographic_area,city,share_white_x,share_black_x,share_native_american_x,share_asian_x,share_hispanic_x,share_white_y,share_black_y,share_native_american_y,share_asian_y,share_hispanic_y,median_income,percent_completed_hs,poverty_rate
PA,lancaster city,55.2,16.3,0.7,3.0,39.3,55.2,16.3,0.7,3.0,39.3,35313.0,76.3,29.0
PA,landingville borough,98.1,0.0,0.6,0.0,1.3,98.1,0.0,0.6,0.0,1.3,51750.0,89.9,4.3
PA,landisburg borough,92.7,0.9,0.5,0.0,6.0,92.7,0.9,0.5,0.0,6.0,44271.0,83.3,22.8
PA,landisville cdp,93.7,1.5,0.2,2.1,4.4,93.7,1.5,0.2,2.1,4.4,90938.0,95.7,1.9
PA,lanesboro borough,96.4,0.4,0.4,0.4,0.0,96.4,0.4,0.4,0.4,0.0,34107.0,89.0,31.1
PA,langeloth cdp,98.3,0.6,0.0,0.3,4.5,98.3,0.6,0.0,0.3,4.5,53021.0,86.3,11.8
PA,langhorne borough,87.7,8.0,0.1,1.5,2.3,87.7,8.0,0.1,1.5,2.3,76786.0,96.4,9.7
PA,langhorne manor borough,92.1,4.1,0.2,1.5,3.3,92.1,4.1,0.2,1.5,3.3,90625.0,87.8,10.9
PA,lansdale borough,75.9,5.9,0.2,13.3,5.0,75.9,5.9,0.2,13.3,5.0,58678.0,91.1,9.6
PA,lansdowne borough,47.1,44.6,0.2,3.6,3.3,47.1,44.6,0.2,3.6,3.3,52325.0,92.9,11.0
PA,lansford borough,94.7,1.0,0.2,0.3,4.3,94.7,1.0,0.2,0.3,4.3,31091.0,83.7,20.8
PA,laporte borough,98.1,0.6,0.9,0.3,0.9,98.1,0.6,0.9,0.3,0.9,60313.0,85.2,7.5
PA,larksville borough,96.9,0.8,0.1,0.6,1.7,96.9,0.8,0.1,0.6,1.7,49643.0,89.2,11.7
PA,lattimer cdp,96.2,2.0,0.0,0.2,1.6,96.2,2.0,0.0,0.2,1.6,52672.0,94.3,11.5
PA,laureldale borough,86.8,2.5,0.4,0.9,16.1,86.8,2.5,0.4,0.9,16.1,54214.0,85.1,14.7
PA,laurel mountain borough,99.4,0.0,0.0,0.6,0.6,99.4,0.0,0.0,0.6,0.6,36250.0,100.0,17.3
PA,laurel run borough,99.0,0.2,0.0,0.4,0.8,99.0,0.2,0.0,0.4,0.8,40568.0,86.4,13.0
PA,laurelton cdp,99.1,0.0,0.0,0.9,0.0,99.1,0.0,0.0,0.9,0.0,56161.0,86.6,3.4
PA,laurys station cdp,95.3,1.4,0.2,1.3,4.3,95.3,1.4,0.2,1.3,4.3,88661.0,89.6,2.6
PA,lavelle cdp,98.9,0.0,0.1,0.1,0.7,98.9,0.0,0.1,0.1,0.7,39844.0,83.8,0.0
PA,lawnton cdp,69.9,18.8,0.3,4.3,7.0,69.9,18.8,0.3,4.3,7.0,54375.0,91.1,10.7
PA,lawrence cdp,89.6,6.1,0.6,0.9,0.4,89.6,6.1,0.6,0.9,0.4,43963.0,85.7,11.7
PA,lawrence park cdp,96.1,1.9,0.2,0.2,1.9,96.1,1.9,0.2,0.2,1.9,49953.0,91.9,7.0
PA,lawrenceville borough,98.1,0.5,0.7,0.0,1.0,98.1,0.5,0.7,0.0,1.0,33500.0,89.8,26.7
PA,lawson heights cdp,98.1,0.2,0.0,1.0,0.5,98.1,0.2,0.0,1.0,0.5,44932.0,95.8,4.2
PA,leola cdp,89.8,1.6,0.2,4.8,7.5,89.8,1.6,0.2,4.8,7.5,63837.0,85.4,9.8
PA,lebanon city,74.1,5.9,0.5,1.1,32.1,74.1,5.9,0.5,1.1,32.1,34072.0,74.1,29.5
PA,lebanon south cdp,94.1,0.9,0.2,1.5,4.2,94.1,0.9,0.2,1.5,4.2,56993.0,88.2,8.5
PA,leechburg borough,96.6,1.3,0.0,0.2,1.1,96.6,1.3,0.0,0.2,1.1,34933.0,92.7,22.2
PA,leeper cdp,99.4,0.0,0.0,0.0,0.0,99.4,0.0,0.0,0.0,0.0,17500.0,98.6,32.1
PA,leesport borough,94.8,1.5,0.3,0.6,4.2,94.8,1.5,0.3,0.6,4.2,68214.0,91.2,2.9
PA,leetsdale borough,86.0,7.6,0.1,1.5,2.3,86.0,7.6,0.1,1.5,2.3,45625.0,92.2,14.8
PA,lehighton borough,96.5,0.6,0.2,0.5,3.7,96.5,0.6,0.2,0.5,3.7,41793.0,88.0,10.0
PA,leith-hatfield cdp,95.6,1.2,0.0,2.3,0.5,95.6,1.2,0.0,2.3,0.5,70152.0,90.9,6.2
PA,lemont cdp,94.2,1.8,0.2,1.9,1.3,94.2,1.8,0.2,1.9,1.3,81012.0,99.0,2.0
PA,lemont furnace cdp,94.1,3.0,0.1,0.0,2.1,94.1,3.0,0.1,0.0,2.1,26458.0,71.9,33.5
PA,lemoyne borough,90.4,2.6,0.3,1.6,5.1,90.4,2.6,0.3,1.6,5.1,43424.0,93.8,12.7
PA,lenape heights cdp,99.0,0.5,0.0,0.3,0.1,99.0,0.5,0.0,0.3,0.1,49036.0,92.2,10.6
PA,lenhartsville borough,95.8,0.0,0.0,1.2,3.0,95.8,0.0,0.0,1.2,3.0,48250.0,92.0,13.7
PA,lenkerville cdp,96.0,2.4,0.2,0.4,1.5,96.0,2.4,0.2,0.4,1.5,42917.0,93.6,26.9
PA,le raysville borough,99.3,0.0,0.0,0.0,0.0,99.3,0.0,0.0,0.0,0.0,71875.0,88.0,18.5
PA,level green cdp,98.7,0.2,0.0,0.6,0.6,98.7,0.2,0.0,0.6,0.6,78048.0,96.1,5.3
PA,levittown cdp,90.4,3.8,0.3,1.7,5.1,90.4,3.8,0.3,1.7,5.1,69878.0,92.3,5.9
PA,lewisberry borough,95.9,0.3,0.3,0.6,3.0,95.9,0.3,0.3,0.6,3.0,51635.0,90.1,10.7
PA,lewisburg borough,90.0,3.2,0.2,3.2,4.0,90.0,3.2,0.2,3.2,4.0,44235.0,81.4,26.8
PA,lewis run borough,97.4,0.2,0.0,0.0,0.6,97.4,0.2,0.0,0.0,0.6,41042.0,97.7,11.6
PA,lewistown borough,95.2,1.5,0.3,0.3,3.1,95.2,1.5,0.3,0.3,3.1,30578.0,87.5,25.8
PA,liberty borough (allegheny county),97.5,1.4,0.1,0.2,0.4,97.5,1.4,0.1,0.2,0.4,51607.0,95.8,9.1
PA,liberty borough (tioga county),97.6,1.6,0.0,0.0,0.0,97.6,1.6,0.0,0.0,0.0,38125.0,90.4,14.5
PA,lightstreet cdp,96.5,0.5,0.2,1.6,0.3,96.5,0.5,0.2,1.6,0.3,53281.0,82.6,11.3
PA,ligonier borough,98.9,0.0,0.0,0.2,0.9,98.9,0.0,0.0,0.2,0.9,48229.0,96.3,11.1
PA,lilly borough,99.7,0.0,0.0,0.0,0.2,99.7,0.0,0.0,0.0,0.2,43477.0,94.0,15.4
PA,lima cdp,91.0,6.4,0.1,1.5,0.9,91.0,6.4,0.1,1.5,0.9,53669.0,93.4,1.7
PA,lime ridge cdp,96.5,0.4,0.0,0.6,2.5,96.5,0.4,0.0,0.6,2.5,34432.0,93.2,24.1
PA,lincoln borough,98.3,0.7,0.1,0.4,0.2,98.3,0.7,0.1,0.4,0.2,48393.0,92.2,9.2
PA,lincoln park cdp,90.3,3.0,0.0,1.9,7.4,90.3,3.0,0.0,1.9,7.4,56250.0,97.4,2.2
PA,lincolnville cdp,97.9,1.0,0.0,0.0,0.0,97.9,1.0,0.0,0.0,0.0,37250.0,100.0,12.8
PA,linesville borough,97.2,0.1,0.7,0.1,1.0,97.2,0.1,0.7,0.1,1.0,43333.0,90.2,8.2
PA,linglestown cdp,91.1,4.2,0.2,2.0,2.5,91.1,4.2,0.2,2.0,2.5,68719.0,93.2,7.2
PA,linntown cdp,94.6,1.5,0.3,1.7,1.8,94.6,1.5,0.3,1.7,1.8,67679.0,97.4,0.8
PA,linwood cdp,87.6,8.0,0.1,0.6,3.7,87.6,8.0,0.1,0.6,3.7,55455.0,88.7,14.2
PA,lionville cdp,86.8,4.0,0.1,6.5,2.9,86.8,4.0,0.1,6.5,2.9,83810.0,97.3,7.7
PA,lititz borough,94.5,1.3,0.2,1.2,3.7,94.5,1.3,0.2,1.2,3.7,52591.0,91.9,7.0
PA,little meadows borough,99.3,0.0,0.0,0.4,1.5,99.3,0.0,0.0,0.4,1.5,45469.0,96.5,8.3
PA,littlestown borough,96.0,0.9,0.2,0.4,2.5,96.0,0.9,0.2,0.4,2.5,55902.0,89.0,9.3
PA,liverpool borough,96.3,0.5,0.1,1.0,0.6,96.3,0.5,0.1,1.0,0.6,46650.0,87.5,11.3
PA,lock haven city,92.8,4.2,0.1,1.0,1.9,92.8,4.2,0.1,1.0,1.9,27129.0,83.9,38.3
PA,locustdale cdp,99.4,0.0,0.0,0.0,0.6,99.4,0.0,0.0,0.0,0.6,43203.0,76.6,9.6
PA,loganton borough,97.0,0.2,0.0,0.0,2.1,97.0,0.2,0.0,0.0,2.1,48125.0,86.7,8.5
PA,loganville borough,96.3,1.4,0.0,1.2,0.8,96.3,1.4,0.0,1.2,0.8,67375.0,90.5,6.5
PA,long branch borough,98.9,0.7,0.4,0.0,0.0,98.9,0.7,0.4,0.0,0.0,55000.0,92.6,6.6
PA,longfellow cdp,100.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,35729.0,79.9,11.1
PA,lorain borough,94.7,2.4,0.4,0.3,0.5,94.7,2.4,0.4,0.3,0.5,38173.0,90.7,14.1
PA,lorane cdp,93.6,2.3,0.0,1.7,3.7,93.6,2.3,0.0,1.7,3.7,61793.0,89.3,4.6
PA,loretto borough,91.2,5.8,0.0,0.9,2.2,91.2,5.8,0.0,0.9,2.2,19250.0,87.8,43.5
PA,lower allen cdp,92.6,3.1,0.1,1.7,3.7,92.6,3.1,0.1,1.7,3.7,53234.0,96.6,4.6
PA,lower burrell city,97.3,1.1,0.1,0.4,0.5,97.3,1.1,0.1,0.4,0.5,56474.0,94.5,9.0
PA,loyalhanna cdp,98.5,0.6,0.1,0.1,0.3,98.5,0.6,0.1,0.1,0.3,43750.0,90.8,16.6
PA,lucerne mines cdp,97.1,0.5,0.2,0.1,0.5,97.1,0.5,0.2,0.1,0.5,53490.0,90.0,3.7
PA,lumber city borough,100.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,39375.0,93.9,11.5
